Combination_ID,Client_1,Client_2,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
0,1,2,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz']",3610.0,10867.043256759644,42.03632026910782,0.5,100.0
1,1,3,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz']",4250.0,11185.13011932373,27.30194568634033,0.35,70.35794999999999
2,1,4,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz']",6630.0,13542.0503616333,49.85981345176697,0.6000000000000001,80.84499999999998
3,1,5,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz']",4880.0,12423.670530319214,37.00324892997742,0.45,80.11349999999999
4,1,6,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz']",4680.0,12516.32022857666,36.77092641592026,0.45,79.82375
5,1,7,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz']",3550.0,11557.854890823364,52.40576505661011,0.65,78.23249999999999
6,1,8,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz']",6390.0,13569.523096084597,33.0864542722702,0.4,72.508275
7,1,9,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",3510.0,11569.855451583862,39.51015800237656,0.5,86.526
8,1,10,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",3970.0,11997.28012084961,43.87722939252853,0.55,81.6753
9,1,11,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",4720.0,12350.284576416016,28.72774571180344,0.35,80.25599999999999
10,1,12,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",3740.0,11504.61196899414,37.38379806280136,0.45,78.14699999999999
11,1,13,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",6549.0,13579.334497451782,42.382082641124725,0.5,78.337
12,1,14,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",4897.0,12313.247680664062,43.58533024787903,0.55,100.0
13,1,15,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",5320.0,12637.206077575684,28.295215666294094,0.35,39.57225
14,1,16,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_16_local.npz']",6532.0,13365.57936668396,52.41338104009628,0.65,71.72167499999999
15,1,17,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_17_local.npz']",5402.0,11898.349523544312,46.854634284973145,0.6000000000000001,79.51024999999998
16,1,18,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_18_local.npz']",6414.0,13464.61296081543,32.12997108697891,0.4,74.35650000000001
17,1,19,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_19_local.npz']",6150.0,13322.627782821655,36.62846326828003,0.45,100.0
18,1,20,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_20_local.npz']",3550.0,11386.664867401125,47.794654071331024,0.6000000000000001,37.437124999999995
19,1,21,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_21_local.npz']",3954.0,11836.575508117676,29.202731251716614,0.35,79.1366625
20,1,22,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_22_local.npz']",4629.0,12125.550031661987,37.12632805109024,0.45,84.5823
21,1,23,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_23_local.npz']",4872.0,12387.061595916748,47.774956822395325,0.65,67.84424999999999
22,1,24,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_24_local.npz']",3900.0,11614.25232887268,36.76732063293457,0.45,39.26349999999999
23,1,25,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_25_local.npz']",3646.0,11473.982095718384,43.5398343205452,0.5,85.3765
24,1,26,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_26_local.npz']",3784.0,11487.426280975342,40.02684086561203,0.5,75.54400000000001
25,1,27,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_27_local.npz']",6477.0,13529.879808425903,44.95195299386978,0.55,80.02443749999999
26,1,28,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_28_local.npz']",4237.0,11814.660787582396,50.85681557655335,0.6000000000000001,81.60405
27,1,29,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_29_local.npz']",5748.0,12860.167264938354,41.97135925292969,0.55,70.011675
28,1,30,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_30_local.npz']",4116.0,12011.970520019531,45.39153873920441,0.55,76.18525
29,1,31,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz']",5300.0,15809.24654006958,32.822641134262085,0.4,88.1562
30,1,32,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz']",3610.0,10867.043256759644,42.03632026910782,0.5,100.0
31,1,33,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz']",4250.0,11185.13011932373,27.30194568634033,0.35,85.99304999999998
32,1,34,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz']",6630.0,13542.0503616333,49.85981345176697,0.6000000000000001,100.0
33,1,35,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz']",4880.0,12423.670530319214,37.00324892997742,0.45,72.10215
34,1,36,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz']",4680.0,12516.32022857666,36.77092641592026,0.45,79.82375
35,1,37,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz']",3550.0,11557.854890823364,52.40576505661011,0.65,70.40924999999999
36,1,38,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz']",6390.0,13569.523096084597,33.0864542722702,0.4,88.62122500000001
37,1,39,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",3510.0,11569.855451583862,39.51015800237656,0.5,86.526
38,1,40,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",3970.0,11997.28012084961,43.87722939252853,0.55,77.78599999999999
39,1,41,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",4720.0,12350.284576416016,28.72774571180344,0.35,80.25599999999999
40,1,42,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",3740.0,11504.61196899414,37.38379806280136,0.45,78.14699999999999
41,1,43,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",6549.0,13579.334497451782,42.382082641124725,0.5,74.42015
42,1,44,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",4897.0,12313.247680664062,43.58533024787903,0.55,68.59665
43,1,45,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",5320.0,12637.206077575684,28.295215666294094,0.35,39.57225
44,1,46,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_16_local.npz']",6532.0,13365.57936668396,52.41338104009628,0.65,39.845375
45,1,47,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_17_local.npz']",5402.0,11898.349523544312,46.854634284973145,0.6000000000000001,39.75512499999999
46,1,48,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_18_local.npz']",6414.0,13464.61296081543,32.12997108697891,0.4,74.35650000000001
47,1,49,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_19_local.npz']",6150.0,13322.627782821655,36.62846326828003,0.45,39.365625
48,1,50,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_20_local.npz']",3550.0,11386.664867401125,47.794654071331024,0.6000000000000001,71.13053749999999
49,1,51,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_21_local.npz']",3954.0,11836.575508117676,29.202731251716614,0.35,37.684125
50,1,52,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_22_local.npz']",4629.0,12125.550031661987,37.12632805109024,0.45,76.893
51,1,53,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_23_local.npz']",4872.0,12387.061595916748,47.774956822395325,0.65,79.151625
52,1,54,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_24_local.npz']",3900.0,11614.25232887268,36.76732063293457,0.45,100.0
53,1,55,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_25_local.npz']",3646.0,11473.982095718384,43.5398343205452,0.5,77.615
54,1,56,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_26_local.npz']",3784.0,11487.426280975342,40.02684086561203,0.5,75.54400000000001
55,1,57,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_27_local.npz']",6477.0,13529.879808425903,44.95195299386978,0.55,76.21374999999999
56,1,58,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_28_local.npz']",4237.0,11814.660787582396,50.85681557655335,0.6000000000000001,66.76695000000001
57,1,59,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_29_local.npz']",5748.0,12860.167264938354,41.97135925292969,0.55,73.90121249999999
58,1,60,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_30_local.npz']",4116.0,12011.970520019531,45.39153873920441,0.55,100.0
59,1,61,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz']",5300.0,15809.24654006958,32.822641134262085,0.4,76.1349
60,1,62,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz']",3610.0,10867.043256759644,42.03632026910782,0.5,78.25625
61,1,63,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz']",4250.0,11185.13011932373,27.30194568634033,0.35,82.08427499999999
62,1,64,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz']",6630.0,13542.0503616333,49.85981345176697,0.6000000000000001,80.84499999999998
63,1,65,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz']",4880.0,12423.670530319214,37.00324892997742,0.45,72.10215
64,1,66,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz']",4680.0,12516.32022857666,36.77092641592026,0.45,79.82375
65,1,67,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz']",3550.0,11557.854890823364,52.40576505661011,0.65,100.0
66,1,68,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz']",6390.0,13569.523096084597,33.0864542722702,0.4,80.56475
67,1,69,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",3510.0,11569.855451583862,39.51015800237656,0.5,39.33
68,1,70,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",3970.0,11997.28012084961,43.87722939252853,0.55,70.00739999999999
69,1,71,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",4720.0,12350.284576416016,28.72774571180344,0.35,84.26879999999998
70,1,72,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",3740.0,11504.61196899414,37.38379806280136,0.45,85.9617
71,1,73,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",6549.0,13579.334497451782,42.382082641124725,0.5,39.1685
72,1,74,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",4897.0,12313.247680664062,43.58533024787903,0.55,68.59665
73,1,75,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",5320.0,12637.206077575684,28.295215666294094,0.35,100.0
74,1,76,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_16_local.npz']",6532.0,13365.57936668396,52.41338104009628,0.65,79.69075
75,1,77,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_17_local.npz']",5402.0,11898.349523544312,46.854634284973145,0.6000000000000001,100.0
76,1,78,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_18_local.npz']",6414.0,13464.61296081543,32.12997108697891,0.4,66.92085000000002
77,1,79,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_19_local.npz']",6150.0,13322.627782821655,36.62846326828003,0.45,78.73125
78,1,80,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_20_local.npz']",3550.0,11386.664867401125,47.794654071331024,0.6000000000000001,37.437124999999995
79,1,81,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_21_local.npz']",3954.0,11836.575508117676,29.202731251716614,0.35,67.831425
80,1,82,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_22_local.npz']",4629.0,12125.550031661987,37.12632805109024,0.45,100.0
81,1,83,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_23_local.npz']",4872.0,12387.061595916748,47.774956822395325,0.65,75.3825
82,1,84,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_24_local.npz']",3900.0,11614.25232887268,36.76732063293457,0.45,74.60064999999999
83,1,85,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_25_local.npz']",3646.0,11473.982095718384,43.5398343205452,0.5,100.0
84,1,86,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_26_local.npz']",3784.0,11487.426280975342,40.02684086561203,0.5,67.98960000000001
85,1,87,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_27_local.npz']",6477.0,13529.879808425903,44.95195299386978,0.55,83.83512499999999
86,1,88,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_28_local.npz']",4237.0,11814.660787582396,50.85681557655335,0.6000000000000001,77.89477500000001
87,1,89,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_29_local.npz']",5748.0,12860.167264938354,41.97135925292969,0.55,100.0
88,1,90,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_30_local.npz']",4116.0,12011.970520019531,45.39153873920441,0.55,38.092625
89,1,91,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz']",5300.0,15809.24654006958,32.822641134262085,0.4,100.0
90,1,92,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz']",3610.0,10867.043256759644,42.03632026910782,0.5,82.1690625
91,1,93,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz']",4250.0,11185.13011932373,27.30194568634033,0.35,74.26672499999998
92,1,94,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz']",6630.0,13542.0503616333,49.85981345176697,0.6000000000000001,72.76049999999998
93,1,95,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz']",4880.0,12423.670530319214,37.00324892997742,0.45,84.11917499999998
94,1,96,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz']",4680.0,12516.32022857666,36.77092641592026,0.45,79.82375
95,1,97,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz']",3550.0,11557.854890823364,52.40576505661011,0.65,70.40924999999999
96,1,98,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz']",6390.0,13569.523096084597,33.0864542722702,0.4,72.508275
97,1,99,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",3510.0,11569.855451583862,39.51015800237656,0.5,78.66
98,1,100,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",3970.0,11997.28012084961,43.87722939252853,0.55,77.78599999999999
99,2,3,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz']",2560.0,6242.926836013794,36.51562482118607,0.4499999999999999,80.1042375
100,2,4,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz']",4940.0,8599.847078323364,59.0734925866127,0.7,39.479625000000006
101,2,5,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz']",3190.0,7481.467247009277,46.21692806482315,0.55,78.22775
102,2,6,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz']",2990.0,7574.116945266724,45.98460555076599,0.55,70.14419999999998
103,2,7,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz']",1860.0,6615.651607513428,61.61944419145584,0.75,68.712075
104,2,8,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz']",4700.0,8627.319812774658,42.300133407115936,0.5,74.74504999999999
105,2,9,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz']",1820.0,6627.652168273925,48.72383713722229,0.6,72.9355375
106,2,10,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",2280.0,7055.076837539673,53.09090852737427,0.6499999999999999,79.6952625
107,2,11,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",3030.0,7408.081293106079,37.94142484664917,0.4499999999999999,78.37025
108,2,12,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",2050.0,6562.408685684204,46.597477197647095,0.55,80.0743125
109,2,13,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",4859.0,8637.131214141846,51.59576177597046,0.6,84.09637499999998
110,2,14,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",3207.0,7371.044397354126,52.79900938272476,0.6499999999999999,66.89947500000001
111,2,15,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",3630.0,7695.002794265747,37.50889480113983,0.4499999999999999,100.0
112,2,16,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_16_local.npz']",4842.0,8423.376083374023,61.62706017494202,0.75,85.58550000000001
113,2,17,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_17_local.npz']",3712.0,6956.146240234375,56.06831341981888,0.7,100.0
114,2,18,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_18_local.npz']",4724.0,8522.409677505493,41.343650221824646,0.5,72.47075
115,2,19,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_19_local.npz']",4460.0,8380.424499511719,45.84214240312576,0.55,80.687775
