Combination_ID,Client_1,Client_2,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
0,1,2,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz']",7460.0,31582.07368850708,29.507242143154144,0.6499999999999999,54.504999999999995
1,1,3,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz']",7010.0,29514.77003097534,27.188014090061188,0.6,53.795
2,1,4,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz']",6520.0,28154.996633529663,23.285029977560043,0.55,53.355000000000004
3,1,5,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz']",6600.0,28539.19744491577,19.79199767112732,0.44999999999999996,53.07
4,1,6,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz']",4730.0,23436.415910720825,30.527846962213516,0.6499999999999999,47.519999999999996
5,1,7,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz']",5120.0,24547.66893386841,34.99927490949631,0.75,48.75
6,1,8,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz']",5680.0,26426.41282081604,27.496917843818665,0.6,50.144999999999996
7,1,9,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz']",6630.0,29201.983213424683,30.559855550527573,0.6499999999999999,53.05
8,1,10,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz']",6700.0,27218.304872512817,28.811881840229034,0.6499999999999999,52.415
9,1,11,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz']",4860.0,23830.872535705566,25.214659720659256,0.55,47.7
10,1,12,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz']",6040.0,26966.306447982788,23.827272057533264,0.5,51.595
11,1,13,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz']",6676.0,28533.004999160767,28.734617680311203,0.6,51.46
12,1,14,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_14_local.npz']",7604.0,31487.130880355835,33.61635118722916,0.7,46.510000000000005
13,1,15,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz']",4631.0,23788.58232498169,24.0592959523201,0.55,45.525000000000006
14,1,16,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_16_local.npz']",4802.0,24114.970684051514,22.613845095038414,0.55,40.715
15,1,17,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_17_local.npz']",7005.0,30140.132904052734,18.767250031232834,0.44999999999999996,51.435
16,1,18,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_18_local.npz']",5167.0,25071.887254714966,24.313397780060768,0.55,46.285
17,1,19,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_19_local.npz']",7307.0,30988.47723007202,29.46931965649128,0.6499999999999999,52.405
18,1,20,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_20_local.npz']",7165.0,29990.748405456543,29.82601970434189,0.6499999999999999,50.605000000000004
19,1,21,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_21_local.npz']",6278.0,27546.929836273193,28.096677362918854,0.6,46.99
20,1,22,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_22_local.npz']",7083.0,30394.01078224182,30.26338756084442,0.6499999999999999,51.07
21,1,23,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_23_local.npz']",5323.0,25089.63179588318,20.117520540952682,0.44999999999999996,41.715
22,1,24,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_24_local.npz']",7140.0,29722.326278686523,26.720683723688126,0.6,50.315
23,1,25,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_25_local.npz']",6072.0,26946.8412399292,26.753735840320587,0.6,49.075
24,1,26,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_26_local.npz']",5793.0,26919.35920715332,25.774213373661038,0.55,49.955
25,1,27,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_27_local.npz']",6777.0,28778.708457946777,32.20180869102478,0.6499999999999999,45.85
26,1,28,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_28_local.npz']",6091.0,27069.7124004364,20.52861824631691,0.44999999999999996,49.870000000000005
27,1,29,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_29_local.npz']",5651.0,26465.295791625977,26.322250962257385,0.6,46.99
28,1,30,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_30_local.npz']",6875.0,28919.795036315918,28.365232348442078,0.6,50.34
29,1,31,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz']",7640.0,31532.180786132812,26.429319381713867,0.6,52.96
30,1,32,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz']",7460.0,31582.07368850708,29.507242143154144,0.6499999999999999,54.504999999999995
31,1,33,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz']",7010.0,29514.77003097534,27.188014090061188,0.6,53.795
32,1,34,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz']",6520.0,28154.996633529663,23.285029977560043,0.55,53.355000000000004
33,1,35,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz']",6600.0,28539.19744491577,19.79199767112732,0.44999999999999996,53.07
34,1,36,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz']",4730.0,23436.415910720825,30.527846962213516,0.6499999999999999,47.519999999999996
35,1,37,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz']",5120.0,24547.66893386841,34.99927490949631,0.75,48.75
36,1,38,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz']",5680.0,26426.41282081604,27.496917843818665,0.6,50.144999999999996
37,1,39,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz']",6630.0,29201.983213424683,30.559855550527573,0.6499999999999999,53.05
38,1,40,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz']",6700.0,27218.304872512817,28.811881840229034,0.6499999999999999,52.415
39,1,41,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz']",4860.0,23830.872535705566,25.214659720659256,0.55,47.7
40,1,42,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz']",6040.0,26966.306447982788,23.827272057533264,0.5,51.595
41,1,43,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz']",6676.0,28533.004999160767,28.734617680311203,0.6,51.46
42,1,44,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_14_local.npz']",7604.0,31487.130880355835,33.61635118722916,0.7,46.510000000000005
43,1,45,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz']",4631.0,23788.58232498169,24.0592959523201,0.55,45.525000000000006
44,1,46,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_16_local.npz']",4802.0,24114.970684051514,22.613845095038414,0.55,40.715
45,1,47,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_17_local.npz']",7005.0,30140.132904052734,18.767250031232834,0.44999999999999996,51.435
46,1,48,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_18_local.npz']",5167.0,25071.887254714966,24.313397780060768,0.55,46.285
47,1,49,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_19_local.npz']",7307.0,30988.47723007202,29.46931965649128,0.6499999999999999,52.405
48,1,50,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_20_local.npz']",7165.0,29990.748405456543,29.82601970434189,0.6499999999999999,50.605000000000004
49,1,51,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_21_local.npz']",6278.0,27546.929836273193,28.096677362918854,0.6,46.99
50,1,52,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_22_local.npz']",7083.0,30394.01078224182,30.26338756084442,0.6499999999999999,51.07
51,1,53,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_23_local.npz']",5323.0,25089.63179588318,20.117520540952682,0.44999999999999996,41.715
52,1,54,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_24_local.npz']",7140.0,29722.326278686523,26.720683723688126,0.6,50.315
53,1,55,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_25_local.npz']",6072.0,26946.8412399292,26.753735840320587,0.6,49.075
54,1,56,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_26_local.npz']",5793.0,26919.35920715332,25.774213373661038,0.55,49.955
55,1,57,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_27_local.npz']",6777.0,28778.708457946777,32.20180869102478,0.6499999999999999,45.85
56,1,58,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_28_local.npz']",6091.0,27069.7124004364,20.52861824631691,0.44999999999999996,49.870000000000005
57,1,59,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_29_local.npz']",5651.0,26465.295791625977,26.322250962257385,0.6,46.99
58,1,60,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_30_local.npz']",6875.0,28919.795036315918,28.365232348442078,0.6,50.34
59,1,61,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz']",7640.0,31532.180786132812,26.429319381713867,0.6,52.96
60,1,62,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz']",7460.0,31582.07368850708,29.507242143154144,0.6499999999999999,54.504999999999995
61,1,63,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz']",7010.0,29514.77003097534,27.188014090061188,0.6,53.795
62,1,64,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz']",6520.0,28154.996633529663,23.285029977560043,0.55,53.355000000000004
63,1,65,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz']",6600.0,28539.19744491577,19.79199767112732,0.44999999999999996,53.07
64,1,66,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz']",4730.0,23436.415910720825,30.527846962213516,0.6499999999999999,47.519999999999996
65,1,67,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz']",5120.0,24547.66893386841,34.99927490949631,0.75,48.75
66,1,68,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz']",5680.0,26426.41282081604,27.496917843818665,0.6,50.144999999999996
67,1,69,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz']",6630.0,29201.983213424683,30.559855550527573,0.6499999999999999,53.05
68,1,70,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz']",6700.0,27218.304872512817,28.811881840229034,0.6499999999999999,52.415
69,1,71,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz']",4860.0,23830.872535705566,25.214659720659256,0.55,47.7
70,1,72,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz']",6040.0,26966.306447982788,23.827272057533264,0.5,51.595
71,1,73,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz']",6676.0,28533.004999160767,28.734617680311203,0.6,51.46
72,1,74,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_14_local.npz']",7604.0,31487.130880355835,33.61635118722916,0.7,46.510000000000005
73,1,75,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz']",4631.0,23788.58232498169,24.0592959523201,0.55,45.525000000000006
74,1,76,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_16_local.npz']",4802.0,24114.970684051514,22.613845095038414,0.55,40.715
75,1,77,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_17_local.npz']",7005.0,30140.132904052734,18.767250031232834,0.44999999999999996,51.435
76,1,78,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_18_local.npz']",5167.0,25071.887254714966,24.313397780060768,0.55,46.285
77,1,79,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_19_local.npz']",7307.0,30988.47723007202,29.46931965649128,0.6499999999999999,52.405
78,1,80,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_20_local.npz']",7165.0,29990.748405456543,29.82601970434189,0.6499999999999999,50.605000000000004
79,1,81,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_21_local.npz']",6278.0,27546.929836273193,28.096677362918854,0.6,46.99
80,1,82,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_22_local.npz']",7083.0,30394.01078224182,30.26338756084442,0.6499999999999999,51.07
81,1,83,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_23_local.npz']",5323.0,25089.63179588318,20.117520540952682,0.44999999999999996,41.715
82,1,84,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_24_local.npz']",7140.0,29722.326278686523,26.720683723688126,0.6,50.315
83,1,85,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_25_local.npz']",6072.0,26946.8412399292,26.753735840320587,0.6,49.075
84,1,86,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_26_local.npz']",5793.0,26919.35920715332,25.774213373661038,0.55,49.955
85,1,87,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_27_local.npz']",6777.0,28778.708457946777,32.20180869102478,0.6499999999999999,45.85
86,1,88,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_28_local.npz']",6091.0,27069.7124004364,20.52861824631691,0.44999999999999996,49.870000000000005
87,1,89,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_29_local.npz']",5651.0,26465.295791625977,26.322250962257385,0.6,46.99
88,1,90,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_30_local.npz']",6875.0,28919.795036315918,28.365232348442078,0.6,50.34
89,1,91,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz']",7640.0,31532.180786132812,26.429319381713867,0.6,52.96
90,1,92,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz']",7460.0,31582.07368850708,29.507242143154144,0.6499999999999999,54.504999999999995
91,1,93,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz']",7010.0,29514.77003097534,27.188014090061188,0.6,53.795
92,1,94,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz']",6520.0,28154.996633529663,23.285029977560043,0.55,53.355000000000004
93,1,95,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz']",6600.0,28539.19744491577,19.79199767112732,0.44999999999999996,53.07
94,1,96,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz']",4730.0,23436.415910720825,30.527846962213516,0.6499999999999999,47.519999999999996
95,1,97,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz']",5120.0,24547.66893386841,34.99927490949631,0.75,48.75
96,1,98,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz']",5680.0,26426.41282081604,27.496917843818665,0.6,50.144999999999996
97,1,99,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz']",6630.0,29201.983213424683,30.559855550527573,0.6499999999999999,53.05
98,1,100,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz']",6700.0,27218.304872512817,28.811881840229034,0.6499999999999999,52.415
99,2,3,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz']",6830.0,29564.66293334961,30.265936851501465,0.6499999999999999,55.34
100,2,4,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz']",6340.0,28204.88953590393,26.36295273900032,0.6,54.9
101,2,5,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz']",6420.0,28589.09034729004,22.869920432567596,0.5,54.614999999999995
102,2,6,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz']",4550.0,23486.308813095093,33.60576972365379,0.7,49.065
103,2,7,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz']",4940.0,24597.561836242676,38.077197670936584,0.8,50.295
104,2,8,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz']",5500.0,26476.305723190308,30.57484060525894,0.6499999999999999,51.69
105,2,9,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz']",6450.0,29251.87611579895,33.63777831196785,0.7,54.595
106,2,10,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz']",6520.0,27268.197774887085,31.88980460166931,0.7,53.959999999999994
107,2,11,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_11_local.npz']",4680.0,23880.765438079834,28.292582482099533,0.6,49.245
108,2,12,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_12_local.npz']",5860.0,27016.199350357056,26.90519481897354,0.55,53.14
109,2,13,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_13_local.npz']",6496.0,28582.897901535034,31.81254044175148,0.6499999999999999,53.004999999999995
110,2,14,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_14_local.npz']",7424.0,31537.023782730103,36.694273948669434,0.75,48.055
111,2,15,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz']",4451.0,23838.475227355957,27.137218713760376,0.6,47.07
112,2,16,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_16_local.npz']",4622.0,24164.86358642578,25.69176785647869,0.6,42.26
113,2,17,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_17_local.npz']",6825.0,30190.025806427002,21.84517279267311,0.5,52.98
114,2,18,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_18_local.npz']",4987.0,25121.780157089233,27.391320541501045,0.6,47.83
115,2,19,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_19_local.npz']",7127.0,31038.37013244629,32.54724241793156,0.7,53.95
