,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
0,1,IID,1305,43,24.43,5.169580936431885,5169.580936431885,0.1934392772444363,1604.2889733840304,/content/drive/MyDrive/mlaas_weights_har/client_1.npz,261,261,261,261,261,"[24.42537397146225, 20.000000298023224, 20.000000298023224, 24.42537397146225, 20.000000298023224]",21.770149767398834,0.6
1,2,IID,1625,43,24.43,6.852367162704468,6852.367162704468,0.14593497053729437,4934.830409356725,/content/drive/MyDrive/mlaas_weights_har/client_2.npz,325,325,325,325,325,"[24.42537397146225, 20.061539113521576, 24.42537397146225, 24.42537397146225, 20.000000298023224]",22.66753226518631,0.4
2,3,IID,590,43,19.22,2.547057867050171,2547.057867050171,0.3926098472030916,3637.310344827586,/content/drive/MyDrive/mlaas_weights_har/client_3.npz,118,118,118,118,118,"[19.222086668014526, 19.222086668014526, 19.222086668014526, 19.222086668014526, 20.000000298023224]",19.377669394016266,0.2
3,4,IID,1155,43,24.4,3.0772705078125,3077.2705078125,0.3249633067555238,4993.2307692307695,/content/drive/MyDrive/mlaas_weights_har/client_4.npz,231,231,231,231,231,"[20.346319675445557, 24.404606223106384, 24.404606223106384, 20.000000298023224, 24.404606223106384]",22.712027728557587,0.4
4,5,IID,800,43,24.39,2.928136110305786,2928.136110305786,0.34151417909858356,4219.28,/content/drive/MyDrive/mlaas_weights_har/client_5.npz,160,160,160,160,160,"[20.624999701976776, 20.000000298023224, 24.386519193649292, 24.386519193649292, 20.000000298023224]",21.87960773706436,0.6
5,6,IID,505,43,24.32,2.7455201148986816,2745.5201148986816,0.36422971173055974,5114.278787878788,/content/drive/MyDrive/mlaas_weights_har/client_6.npz,101,101,101,101,101,"[20.000000298023224, 24.32153671979904, 20.000000298023224, 20.000000298023224, 24.32153671979904]",21.72861486673355,0.6
6,7,IID,1800,43,25.03,4.537928104400635,4537.928104400635,0.22036488392803197,4662.187845303867,/content/drive/MyDrive/mlaas_weights_har/client_7.npz,360,360,360,360,360,"[20.33333331346512, 20.055556297302246, 20.000000298023224, 20.000000298023224, 20.000000298023224]",20.077778100967407,1.0
7,8,IID,590,43,24.33,3.46478533744812,3464.78533744812,0.2886181689791261,4849.747126436781,/content/drive/MyDrive/mlaas_weights_har/client_8.npz,118,118,118,118,118,"[24.329574406147003, 20.000000298023224, 20.000000298023224, 20.000000298023224, 20.000000298023224]",20.86591511964798,0.8
8,9,IID,1860,43,24.43,5.6242053508758545,5624.2053508758545,0.17780289616279224,4464.846560846561,/content/drive/MyDrive/mlaas_weights_har/client_9.npz,372,372,372,372,372,"[20.483870804309845, 20.053763687610626, 24.42537397146225, 20.000000298023224, 20.000000298023224]",20.992601811885834,0.8
9,10,IID,1070,43,9.63,4.236137390136719,4236.137390136719,0.23606410932949595,5274.1,/content/drive/MyDrive/mlaas_weights_har/client_10.npz,214,214,214,214,214,"[20.46729028224945, 9.630805999040604, 20.000000298023224, 20.000000298023224, 20.000000298023224]",18.019619435071945,0.8
10,11,IID,1370,43,25.06,4.7361602783203125,4736.1602783203125,0.21114150308161694,4767.54802259887,/content/drive/MyDrive/mlaas_weights_har/client_11.npz,274,274,274,274,274,"[20.218978822231293, 25.063809752464294, 20.000000298023224, 25.063809752464294, 20.000000298023224]",22.069319784641266,0.6
11,12,IID,1170,43,19.23,5.86997652053833,5869.97652053833,0.17035843269579057,1616.5823754789271,/content/drive/MyDrive/mlaas_weights_har/client_12.npz,234,234,234,234,234,"[19.22878473997116, 19.22878473997116, 20.000000298023224, 20.000000298023224, 20.000000298023224]",19.6915140748024,0.6
12,13,IID,515,43,9.65,3.9601287841796875,3960.1287841796875,0.2525170403535609,3853.2237442922374,/content/drive/MyDrive/mlaas_weights_har/client_13.npz,103,103,103,103,103,"[9.65157300233841, 20.194174349308014, 9.65157300233841, 9.65157300233841, 20.000000298023224]",13.829778730869293,0.4
13,14,IID,465,43,24.41,3.936743974685669,3936.743974685669,0.2540170268704978,3309.2392156862743,/content/drive/MyDrive/mlaas_weights_har/client_14.npz,93,93,93,93,93,"[20.215053856372833, 20.000000298023224, 24.409295618534088, 20.000000298023224, 24.409295618534088]",21.80672913789749,0.6
14,15,IID,1605,43,19.13,7.390894889831543,7390.894889831543,0.13530161298543275,2411.017142857143,/content/drive/MyDrive/mlaas_weights_har/client_15.npz,321,321,321,321,321,"[20.18691599369049, 20.000000298023224, 19.133655726909637, 19.133655726909637, 20.000000298023224]",19.690845608711243,0.6
15,16,IID,1135,43,24.41,4.579411745071411,4579.411745071411,0.21836865861128327,3560.5738396624474,/content/drive/MyDrive/mlaas_weights_har/client_16.npz,227,227,227,227,227,"[20.352423191070557, 24.405276775360107, 20.000000298023224, 20.000000298023224, 24.405276775360107]",21.832595467567444,0.6
16,17,IID,1625,43,25.03,5.465410232543945,5465.410232543945,0.1829688820146511,3046.4115523465703,/content/drive/MyDrive/mlaas_weights_har/client_17.npz,325,325,325,325,325,"[20.246154069900513, 25.02562403678894, 20.000000298023224, 20.000000298023224, 20.000000298023224]",21.054355800151825,0.8
